"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"OKD","OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,6927","0,9254","8,4178","4,3048","12,0861","361,9704","878,0189"
"AS1","ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6898","7,0345","11,8005","9,9814","23,9159","-","-"
"FS5","FONERİA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,6852","9,3255","19,4210","15,3392","55,2390","-","-"
"TI2","İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,6795","-8,1841","-4,0756","-7,6786","-5,6636","557,9454","1.455,4505"
"FCK","FONERİA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,6734","6,6496","13,9957","8,0339","17,4519","-","-"
"ICS","ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6612","7,0413","13,2810","11,1417","23,3600","133,5117","485,0882"
"IUF","İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","2,6601","17,4990","24,2057","23,9728","35,6092","186,6992","-"
"GPF","GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,6537","10,9468","22,9978","19,8488","40,3469","161,0017","257,1721"
"CKS","İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6522","8,8987","15,5240","13,1774","28,6595","-","-"
"NFF","NEO PORTFÖY FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","2,6469","5,9862","-","-","-","-","-"
"EUN","GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","2,6348","16,7426","21,8846","21,5030","36,3095","-","-"
"FPG","FİBA PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","2,6223","-","-","-","-","-","-"
"ZDZ","ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,6208","-2,8061","-4,6799","-8,4390","3,8173","421,8672","885,9622"
"HDK","HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,6115","10,4526","19,4368","15,3847","48,7183","-","-"
"TPJ","TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,6099","7,6040","14,4447","12,3288","30,8511","198,2579","643,8556"
"GAS","GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,5984","8,4086","15,1194","12,8654","28,0165","186,7582","613,4549"
"IHA","ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,5889","-5,5523","-1,8303","-9,9274","-2,6691","-","-"
"ZSF","ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2,5807","11,7191","22,4028","15,4275","35,6740","167,0133","-"
"GZJ","GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,5762","5,8008","12,8986","10,3748","32,1137","259,3304","-"
"PDF","QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5725","7,6875","15,3611","12,1139","27,6770","183,4618","571,6238"
"ICH","PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,5467","10,8868","0,0182","-3,4721","3,1251","-","-"
"DEF","ALLBATROSS PORTFÖY DEFNE SERBEST FON","Serbest Şemsiye Fonu","2,5284","3,4037","9,4966","6,5560","20,2542","-","-"
"KIS","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU","Katılım Şemsiye Fonu","2,5258","8,1733","16,8833","11,7662","29,8866","178,5998","592,9412"
"TPL","TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,5190","7,0365","13,2843","11,4374","28,8355","189,7374","589,5688"
"SPT","AKTİF PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,5128","8,4634","16,2241","11,9737","-","-","-"
"KDT","GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5126","8,9478","15,7634","13,1053","27,6432","-","-"
"PBK","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,5101","8,4712","16,2438","12,8813","27,6906","180,2662","583,8964"
"FFH","QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,4950","8,1357","18,8238","14,5148","36,9785","231,8401","-"
"LPH","STATECH PORTFÖY İKİNCİ ALPHA SERBEST FON","Serbest Şemsiye Fonu","2,4941","-7,4669","-20,3195","-19,9118","-","-","-"
"DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,4777","5,5581","13,1186","7,2192","20,5042","362,1661","682,5208"
"BIS","BV PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","2,4624","10,9089","20,7923","17,6396","-","-","-"
"HMG","HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,4473","6,7189","24,1014","15,4962","45,9333","271,1585","-"
"KPD","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4412","7,2730","12,9344","10,5559","-","-","-"
"UPD","ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","2,4369","6,8735","14,0431","11,5589","26,1528","174,9443","597,7770"
"IAM","İŞ PORTFÖY AGRESİF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,4288","4,3849","7,1704","6,4008","-","-","-"
"ZPA","ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4241","8,3937","15,1337","12,7156","28,3329","175,6814","-"
"FMG","QNB PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","2,4123","12,6508","19,2759","24,3412","29,0650","-","-"
